id,name,name_jp,category,region,station,hours_confidence,reason,reason_detail,hours_raw_count,business_hours_key_count,closed_on_note,tabelog_url
ChIJCxuv4IaLGGAR7CGOb_-MmJ8,Akasaka Ichiryu Bekkan,赤坂一龍 別館,Asian Ethnic,TOKYO,赤坂駅,low,24h_format_not_supported_by_parser,"Source says Open 24 hours, but parser only supports HH:MM-HH:MM ranges.",1,0,,https://tabelog.com/tokyo/A1308/A130801/13002759/
ChIJYbs_5oaLGGARV61R0UKowMw,Cheongsol,チョンソル,Asian Ethnic,TOKYO,赤坂駅,low,24h_format_not_supported_by_parser,"Source says Open 24 hours, but parser only supports HH:MM-HH:MM ranges.",1,0,,https://tabelog.com/tokyo/A1308/A130801/13035074/
ChIJxYERJ_6IGGARg5V38mWVhXc,Mon Cher Higashiyocho Kojo,モンシェール 東陽町工場,Bakery,TOKYO,東陽町駅,low,24h_format_not_supported_by_parser,"Source says Open 24 hours, but parser only supports HH:MM-HH:MM ranges.",1,0,,https://tabelog.com/tokyo/A1313/A131303/13024396/
ChIJt_gWX9uMGGARWdvJVMz9JwU,Coffee Kizoku Edinburgh,珈琲貴族エジンバラ,喫茶店,喫茶店 百名店,新宿三丁目駅,low,24h_format_not_supported_by_parser,"Source says Open 24 hours, but parser only supports HH:MM-HH:MM ranges.",1,0,,https://tabelog.com/tokyo/A1304/A130401/13017217/
ChIJuya5pRDnAGARL5HekU97Hag,Ali's Kitchen アリーズ キッチン,アリーズ キッチン,Asian Ethnic,WEST,心斎橋駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270201/27045608/
ChIJJSWm-OW5WjUR-jlK6P6t3XI,CHILAN,CHILAN,Asian Ethnic,WEST,廿日市市,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/hiroshima/A3402/A340201/34027524/
ChIJMTwFfeXnAGARS9Z74IjwAnM,Hoch,ホッホ,Asian Ethnic,WEST,天満駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270103/27135839/
ChIJkcMkqhzzGGARYoolEkfLfZ4,OLD NEPAL TOKYO,OLD NEPAL TOKYO,Asian Ethnic,TOKYO,豪徳寺駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1318/A131813/13248272/
ChIJdVMUBHGGGGARPUpKInkB2pU,Sansar Koiwa Ten,サンサール 小岩店,Asian Ethnic,TOKYO,小岩駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/tokyo/A1312/A131204/13009589/
ChIJVyzNG-jxAGARNKXQFxllzSM,Thai Biryani majide hamal マジデハマル,majide hamal,Asian Ethnic,WEST,武庫之荘駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/hyogo/A2803/A280304/28029394/
ChIJJ193dmrnAGAR18d2fz9CbWg,シンズキッチン Singh's Kitchen,シンズキッチン,Asian Ethnic,WEST,近鉄日本橋駅,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/osaka/A2701/A270202/27044516/
ChIJ8_bUwA8S5TQRP6VkBFHG7iU,チャーリー多幸寿 本店,チャーリー多幸寿,Asian Ethnic,WEST,沖縄市,low,hours_raw_empty,Raw source record has no hours_raw entries.,0,0,,https://tabelog.com/okinawa/A4703/A470301/47000033/
