category,raw_restaurants,webapp_restaurants,raw_only_restaurants,missing_hours_structural,hours_need_review,missing_google_core,missing_coordinates,missing_google_rating
Japanese,299,299,0,78,139,3,0,3
Yakiniku,300,300,0,20,65,3,0,3
Ramen,598,598,0,14,71,2,0,2
"Steak, Teppanyaki",200,200,0,7,35,2,0,2
Sweets,300,300,0,23,70,2,0,2
Tempura,100,100,0,22,33,2,0,2
Tonkatsu,100,100,0,3,11,2,0,2
Udon,300,300,0,6,24,2,0,2
Asian Ethnic,300,300,0,21,43,1,0,1
Cafe,200,200,0,9,42,1,0,1
Creative Cuisine/Innovative,100,100,0,28,55,1,0,1
Curry,300,300,0,7,43,1,0,1
French,300,300,0,35,81,1,0,1
Italian,300,300,0,43,95,1,0,1
Soba,200,200,0,8,23,1,0,1
Sushi,300,300,0,78,118,1,0,1
Unagi,100,100,0,5,13,1,0,1
Yakitori,200,200,0,29,61,1,0,1
Bakery,300,300,0,25,66,0,0,0
Bar,100,100,0,4,14,0,0,0
Chicken,100,100,0,6,20,0,0,0
Chinese,300,300,0,35,78,0,0,0
Coffee Shop,99,99,0,5,14,0,0,0
Gyoza,100,100,0,4,13,0,0,0
Hamburger,100,100,0,1,15,0,0,0
Ice Cream & Gelato,100,100,0,6,19,0,0,0
Izakaya,200,200,0,14,34,0,0,0
Okonomiyaki,100,100,0,2,13,0,0,0
Pizza,100,100,0,8,19,0,0,0
Shokudo (Japanese Diner),100,100,0,7,15,0,0,0
Spanish,100,100,0,9,23,0,0,0
Standing Bar,100,100,0,4,21,0,0,0
"Sukiyaki, Shabushabu",100,100,0,5,19,0,0,0
Wagashi,300,300,0,23,55,0,0,0
Western Food,200,200,0,7,26,0,0,0
