name,tabelog_url,google_url
Ogata,https://tabelog.com/kyoto/A2601/A260201/26012136/,https://www.google.com/maps/place/?q=place_id:ChIJKV-kY5wIAWAR63MGW1r_MaY
CAINOYA,https://tabelog.com/kyoto/A2601/A260402/26040164/,https://www.google.com/maps/place/?q=place_id:ChIJCZ4QFIYHAWARxdH_nTQ680Y
Kin Mugi,https://tabelog.com/tokyo/A1316/A131602/13005477/,https://www.google.com/maps/place/?q=place_id:ChIJyUXZrIaNGGARF7gdiZWfqLQ
Bar Oscar,https://tabelog.com/fukuoka/A4001/A400104/40000009/,https://www.google.com/maps/place/?q=place_id:ChIJd1Nf7oaRQTUR36s9_NjJ2uY
Kawasaki,https://tabelog.com/tokyo/A1307/A130703/13219503/,https://www.google.com/maps/place/?q=place_id:ChIJ0dFlnGWLGGARlLE-1xZN2Hs
CHILAN,https://tabelog.com/hiroshima/A3402/A340201/34027524/,https://www.google.com/maps/place/?q=place_id:ChIJJSWm-OW5WjUR-jlK6P6t3XI
Okashi Tsukasa Juko,https://tabelog.com/kyoto/A2601/A260503/26005468/,https://www.google.com/maps/place/?q=place_id:ChIJq0L6CeEHAWARcLw7zv39sbw
一平ちゃん,https://tabelog.com/nara/A2902/A290203/29003583/,https://www.google.com/maps/place/?q=place_id:ChIJVVVO0-0vAWARlrPbcEsmBuo
Kasho Kikuya,https://tabelog.com/tokyo/A1306/A130602/13006970/,https://www.google.com/maps/place/?q=place_id:ChIJkUtA2WCLGGARmhwepr0UKoA
Iwanaga Baijuken,https://tabelog.com/nagasaki/A4201/A420101/42001419/,https://www.google.com/maps/place/?q=place_id:ChIJrwQmKEdTFTURpsRTGwbVN0M
Kamesuehiro,https://tabelog.com/kyoto/A2601/A260202/26000641/,https://www.google.com/maps/place/?q=place_id:ChIJGWYEooUIAWARpLn2iLpkG5E
Honneri Kwashi Suiren isshin,https://tabelog.com/osaka/A2701/A270106/27061962/,https://www.google.com/maps/place/?q=place_id:ChIJOeBymk3nAGARhN3mEay3YjU
Ali's Kitchen アリーズ キッチン,https://tabelog.com/osaka/A2701/A270201/27045608/,https://www.google.com/maps/place/?q=place_id:ChIJuya5pRDnAGARL5HekU97Hag
チャーリー多幸寿 本店,https://tabelog.com/okinawa/A4703/A470301/47000033/,https://www.google.com/maps/place/?q=place_id:ChIJ8_bUwA8S5TQRP6VkBFHG7iU
Tokutaro,https://tabelog.com/tokyo/A1311/A131102/13008704/,https://www.google.com/maps/place/?q=place_id:ChIJi4KX8eqOGGAR0EGqioouhSk
Jinba Do,https://tabelog.com/kyoto/A2601/A260503/26000370/,https://www.google.com/maps/place/?q=place_id:ChIJB06uIgioAWARjg5c9VHhpQg
