name,tabelog_url,google_url,google_reviews,tabelog_score
Naruse,https://tabelog.com/shizuoka/A2201/A220101/22037788/,https://maps.google.com/?cid=7889191381351458578&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,4.6
Yoshii,https://tabelog.com/aichi/A2301/A230104/23044914/,https://maps.google.com/?cid=4946522401860609325&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,4.35
Marushin,https://tabelog.com/fukushima/A0702/A070201/7001521/,https://maps.google.com/?cid=13718403296352105747&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,4.04
Syn,https://tabelog.com/fukuoka/A4001/A400105/40064406/,https://maps.google.com/?cid=12804586931354951400&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.93
sio,https://tabelog.com/tokyo/A1318/A131811/13150395/,https://maps.google.com/?cid=3615670354691082437&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.91
Hei Gorou Hon Ten,https://tabelog.com/nagano/A2001/A200101/20015759/,https://maps.google.com/?cid=3147023060674975382&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.84
Sushi Shinosuke,https://tabelog.com/ishikawa/A1701/A170101/17000173/,https://maps.google.com/?cid=14481454553027717829&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.81
Oryori Shibuu,https://tabelog.com/tokyo/A1301/A130101/13215411/,https://maps.google.com/?cid=12479357715852716366&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.76
WINE Shokudo Ono,https://tabelog.com/osaka/A2701/A270101/27124092/,https://maps.google.com/?cid=3842693433416155561&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.76
Katsuretsu Tei Shinshigai Honten,https://tabelog.com/kumamoto/A4301/A430101/43000307/,https://maps.google.com/?cid=17757654111423387045&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.73
Tempura Hirai,https://tabelog.com/fukushima/A0701/A070101/7000216/,https://maps.google.com/?cid=3064607014125208007&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.73
Yashima,https://tabelog.com/tokyo/A1311/A131101/13024325/,https://maps.google.com/?cid=15501747587991022904&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.72
Mendo Kirinji,https://tabelog.com/nagano/A2001/A200101/20017737/,https://maps.google.com/?cid=15269817253558706438&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0,3.71
