name_en,name_jp,google_rating,google_reviews,tabelog_score,tabelog_reviews,tabelog_url,google_url,place_id
Naruse,成生,,0,4.6,363,https://tabelog.com/shizuoka/A2201/A220101/22037788/,https://maps.google.com/?cid=7889191381351458578&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJ_QjQMR1KGmAREueGOsMJfG0
Yoshii,吉い,,0,4.35,118,https://tabelog.com/aichi/A2301/A230104/23044914/,https://maps.google.com/?cid=4946522401860609325&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJN6BNYQBxA2ARLeVprOqTpUQ
Marushin,丸新,,0,4.04,327,https://tabelog.com/fukushima/A0702/A070201/7001521/,https://maps.google.com/?cid=13718403296352105747&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJbT71zpFsIGARE3WdZB2PYb4
Syn,Syn,,0,3.93,42,https://tabelog.com/fukuoka/A4001/A400105/40064406/,https://maps.google.com/?cid=12804586931354951400&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJNfZWPQKTQTUR6F4F8_gHs7E
sio,sio,,0,3.91,824,https://tabelog.com/tokyo/A1318/A131811/13150395/,https://maps.google.com/?cid=3615670354691082437&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJHUD2DkjzGGARxchF7AdxLTI
Hei Gorou Hon Ten,平五郎 本店,,0,3.84,461,https://tabelog.com/nagano/A2001/A200101/20015759/,https://maps.google.com/?cid=3147023060674975382&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJAeYW9eSGHWARlpZ-z8x4rCs
Sushi Shinosuke,鮨 志の助,,0,3.81,355,https://tabelog.com/ishikawa/A1701/A170101/17000173/,https://maps.google.com/?cid=14481454553027717829&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJF6-tWr00-F8RxSouoDB2-Mg
Oryori Shibuu,お料理 志ぶう,,0,3.76,37,https://tabelog.com/tokyo/A1301/A130101/13215411/,https://maps.google.com/?cid=12479357715852716366&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJAQAAwOaLGGARTmluXrmVL60
WINE Shokudo Ono,WINE食堂 緒乃,,0,3.76,170,https://tabelog.com/osaka/A2701/A270101/27124092/,https://maps.google.com/?cid=3842693433416155561&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJq6pOke3mAGARqQF_d1H9UzU
Katsuretsu Tei Shinshigai Honten,勝烈亭 新市街本店,,0,3.73,1557,https://tabelog.com/kumamoto/A4301/A430101/43000307/,https://maps.google.com/?cid=17757654111423387045&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJIw5Ry330QDURpVWli1Tcb_Y
